IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
54.65.210.183,54177,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,274,35.98
103.200.30.138,44004,TRUE,NRT,JP,Asia Pacific,Tokyo,138968,rainbow network limited,215,28.38
152.70.246.67,45696,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,373,26.26
131.186.31.253,36688,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,316,25.53
129.154.212.181,44699,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,292,25.34
146.56.162.244,36969,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,374,24.63
152.70.232.251,58474,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,321,23.63
152.70.253.130,61153,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,336,23.54
146.56.179.20,45790,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,326,21.43
146.56.138.226,38178,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,327,19.73
141.164.56.255,40006,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,456,19.22
141.164.56.255,40009,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,366,18.66
152.70.239.189,42984,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,328,18.53
103.201.130.155,47290,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,337,17.78
168.138.210.152,43164,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,319,17.25
138.2.23.218,47598,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,345,16.84
141.147.176.65,43534,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,343,16.55
146.56.177.67,61153,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,721,16.17
141.147.175.191,41101,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,328,15.91
62.106.70.89,40184,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,517,14.93
141.164.56.255,40003,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,375,14.19
138.2.19.1,61735,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,349,13.87
45.66.128.148,48388,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,567,13.15
140.238.36.35,58068,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,379,12.16
103.117.102.87,56404,TRUE,NRT,JP,Asia Pacific,Tokyo,906,DMIT,186,11.14
141.164.56.255,40010,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,365,10.97
220.135.84.4,36641,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,396,10.91
150.230.107.234,41381,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,374,10.58
138.2.21.196,44333,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,372,10.12
38.47.99.230,51443,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,587,9.90
38.47.110.79,49200,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,575,9.88
45.66.128.148,50053,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,594,9.76
155.248.183.175,41092,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,340,9.08
167.88.185.60,41847,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,848,8.94
150.230.107.234,53780,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,362,8.77
193.111.31.133,50896,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,550,8.23
168.138.213.1,50003,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,371,8.22
59.127.223.93,36547,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,421,8.18
118.219.166.120,37378,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,341,8.11
85.113.70.29,42449,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,548,7.95
222.113.157.221,38825,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,322,7.72
141.164.56.255,40014,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,450,7.70
222.238.154.82,39852,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,340,7.47
168.126.182.190,37495,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,336,7.40
168.138.196.92,43138,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,412,7.39
222.103.176.231,37187,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,310,7.34
115.137.85.81,36764,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,410,7.26
147.78.243.121,50114,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,610,7.20
59.127.223.93,37430,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,425,7.12
141.164.56.255,40012,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,374,7.09
58.230.12.228,37697,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,322,7.04
218.152.105.119,37273,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,334,6.94
1.236.13.140,36333,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,312,6.89
150.230.107.234,47236,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,357,6.88
14.44.61.169,37859,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,309,6.86
220.77.136.79,36429,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,305,6.84
59.24.92.220,38019,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,432,6.75
38.47.111.34,41119,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,905,6.74
45.66.128.116,48367,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,563,6.70
123.111.198.83,39342,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,367,6.60
59.1.172.186,36987,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.58
211.230.100.232,38741,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,389,6.56
121.181.128.153,37721,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,329,6.54
122.35.111.172,38562,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,385,6.39
121.155.35.114,36073,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,6.39
211.219.249.144,36514,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,360,6.37
122.35.111.172,36316,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,397,6.37
182.224.50.51,37310,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,414,6.33
125.227.70.180,37303,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,342,6.31
49.172.159.105,36975,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,409,6.30
182.231.142.84,38294,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,426,6.30
61.78.246.83,38766,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,422,6.26
222.119.24.197,39490,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.25
45.66.128.148,48792,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,561,6.13
210.183.35.135,36729,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,315,6.13
150.230.209.239,51272,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,356,6.10
119.194.34.220,37674,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,383,6.08
112.185.157.81,38720,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,328,6.07
122.35.111.172,36367,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,387,6.07
58.230.12.228,39278,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,329,6.07
119.197.88.5,39109,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,921,5.99
147.78.247.110,50009,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,594,5.99
38.47.111.79,44729,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,532,5.99
221.157.238.95,36249,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,342,5.97
121.155.35.114,39719,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,435,5.92
182.231.142.84,36485,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,396,5.92
14.56.201.108,39038,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,5.90
211.230.100.232,39407,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,389,5.89
121.155.35.114,37592,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,415,5.88
1.221.213.28,36102,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,409,5.87
59.20.178.11,39019,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,5.84
182.209.175.112,37926,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,420,5.82
122.35.111.172,39023,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,389,5.77
121.179.166.89,38273,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,385,5.77
182.231.142.84,37001,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,417,5.74
121.155.35.114,36422,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,401,5.69
121.163.47.217,39109,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,333,5.66
122.35.111.172,36569,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,416,5.65
222.111.243.188,38346,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,423,5.63
141.164.56.255,40008,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,255,5.62
221.165.152.104,39718,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,443,5.61
59.3.87.55,39109,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,5.60
221.146.172.193,38567,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,301,5.57
183.109.191.146,38052,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,401,5.55
193.122.126.64,53777,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,263,5.54
132.226.14.214,36637,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,378,5.54
1.241.218.157,39001,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,309,5.53
122.35.111.172,37979,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,396,5.52
222.111.243.188,37913,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,427,5.52
141.164.56.255,40015,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,364,5.48
222.97.67.3,38422,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,444,5.47
121.155.35.114,38407,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,467,5.42
114.129.218.8,36196,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,283,5.40
121.161.238.47,36597,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,399,5.39
122.35.111.172,36471,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,384,5.35
59.3.87.55,36530,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,396,5.33
146.56.181.95,46237,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,362,5.33
61.79.154.177,39514,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,433,5.32
61.84.62.196,36242,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,295,5.31
121.161.238.47,39090,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,492,5.30
121.191.63.119,36228,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,467,5.29
211.218.242.52,36839,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,458,5.27
211.230.45.83,37362,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,5.26
158.101.154.245,47001,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,392,5.25
202.144.195.68,54445,TRUE,NRT,JP,Asia Pacific,Tokyo,55799,IPTELECOM ASIA,209,5.21
218.153.122.205,39348,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,433,5.20
140.238.40.107,41608,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,343,5.20
61.83.90.170,37729,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,5.20
106.240.98.130,39641,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,462,5.18
14.54.27.148,36201,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,312,5.16
45.66.130.112,56060,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,563,5.15
114.129.192.41,37431,TRUE,ICN,KR,Asia Pacific,Seoul,9981,Saero Network Service LTD,430,5.14
115.91.95.202,37475,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,414,5.13
132.226.20.20,47494,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,259,5.13
121.155.35.114,38858,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,5.13
150.230.193.41,38443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,358,5.13
221.160.205.130,38380,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,411,5.12
124.51.24.155,37127,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,394,5.12
58.125.118.230,37276,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,336,5.12
115.91.95.202,37762,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,382,5.12
182.231.118.176,37089,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,412,5.11
115.91.95.202,37119,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,409,5.10
1.221.213.28,36142,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,390,5.05
115.91.95.202,39592,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,427,5.05
182.224.50.51,36138,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,420,5.01
193.123.247.125,50576,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,306,4.99
115.91.95.202,37957,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,414,4.98
38.47.96.138,39300,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,439,4.98
222.104.197.149,38196,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,433,4.97
118.130.23.168,38526,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,436,4.96
61.39.134.249,37372,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,535,4.93
222.104.197.149,36493,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,369,4.92
109.107.137.22,44004,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,619,4.91
45.66.130.4,42221,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,613,4.91
121.155.35.114,38067,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,4.90
106.252.227.66,38404,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,417,4.89
222.114.29.162,39123,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,4.88
121.177.79.245,39593,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,388,4.85
49.161.100.250,39471,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,392,4.84
121.166.49.104,37363,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,400,4.80
220.85.149.130,39179,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,426,4.78
61.74.226.42,36945,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,402,4.77
222.102.190.56,37271,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,506,4.76
64.110.73.13,50829,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,325,4.71
106.241.165.67,39259,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,396,4.71
49.174.29.56,37691,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,398,4.70
121.173.93.124,37370,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.70
115.91.95.202,39199,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,407,4.70
14.44.61.169,38061,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,366,4.68
123.100.185.50,38819,TRUE,KIX,JP,Asia Pacific,Osaka,38673,Korea Cable TV Kwangju Broadcasting,421,4.67
122.35.111.172,36643,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,401,4.65
125.136.110.133,37178,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,410,4.65
222.114.29.162,36678,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,376,4.64
175.209.37.180,39549,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,407,4.62
147.78.247.110,50027,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,597,4.61
121.172.184.114,39239,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.61
106.252.227.66,38369,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,406,4.58
121.158.73.87,36845,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,408,4.58
